"filename", "language", "Asset Properties Definition", "GDScript", "Markdown", "GDScene", "XML", "comment", "blank", "total"
"d:\IdeaProjects\-qsz\system\hit.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\item_drop_system.gd", "GDScript", 0, 66, 0, 0, 0, 18, 25, 109
"d:\IdeaProjects\-qsz\system\item_drop_system.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\level_up.gd", "GDScript", 0, 265, 0, 0, 0, 52, 50, 367
"d:\IdeaProjects\-qsz\system\level_up.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\mouse_animation.gd", "GDScript", 0, 28, 0, 0, 0, 7, 9, 44
"d:\IdeaProjects\-qsz\system\mouse_animation.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\pinch_zoom.gd", "GDScript", 0, 52, 0, 0, 0, 17, 18, 87
"d:\IdeaProjects\-qsz\system\pinch_zoom.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\predictive_aiming.gd", "GDScript", 0, 228, 0, 0, 0, 69, 77, 374
"d:\IdeaProjects\-qsz\system\predictive_aiming.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\settings_manager.gd", "GDScript", 0, 103, 0, 0, 0, 21, 35, 159
"d:\IdeaProjects\-qsz\system\settings_manager.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\soft_glow_manager.gd", "GDScript", 0, 19, 0, 0, 0, 4, 9, 32
"d:\IdeaProjects\-qsz\system\soft_glow_manager.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\soft_glow_test.gd", "GDScript", 0, 0, 0, 0, 0, 25, 5, 30
"d:\IdeaProjects\-qsz\system\soft_glow_test.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\study_layer.gd", "GDScript", 0, 598, 0, 0, 0, 64, 101, 763
"d:\IdeaProjects\-qsz\system\study_layer.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\synthesis_layer.gd", "GDScript", 0, 396, 0, 0, 0, 76, 77, 549
"d:\IdeaProjects\-qsz\system\synthesis_layer.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\tips.gd", "GDScript", 0, 40, 0, 0, 0, 9, 16, 65
"d:\IdeaProjects\-qsz\system\tips.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\trans_black.gd", "GDScript", 0, 1, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\trans_black.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\virtual_joystick.gd", "GDScript", 0, 62, 0, 0, 0, 15, 17, 94
"d:\IdeaProjects\-qsz\system\virtual_joystick.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\test_synthesis.gd", "GDScript", 0, 6, 0, 0, 0, 4, 4, 14
"d:\IdeaProjects\-qsz\test_synthesis.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\town\level_change_layer.gd", "GDScript", 0, 90, 0, 0, 0, 7, 27, 124
"d:\IdeaProjects\-qsz\town\level_change_layer.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\town\main_town.gd", "GDScript", 0, 505, 0, 0, 0, 58, 151, 714
"d:\IdeaProjects\-qsz\town\main_town.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\town\test_town.gd", "GDScript", 0, 37, 0, 0, 0, 8, 15, 60
"d:\IdeaProjects\-qsz\town\test_town.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\util\README_warn_circle.md", "Markdown", 0, 0, 541, 0, 0, 0, 142, 683
"d:\IdeaProjects\-qsz\util\README_warn_rect.md", "Markdown", 0, 0, 256, 0, 0, 0, 59, 315
"d:\IdeaProjects\-qsz\util\README_warn_sector.md", "Markdown", 0, 0, 176, 0, 0, 0, 58, 234
"d:\IdeaProjects\-qsz\util\character_effects.gd", "GDScript", 0, 92, 0, 0, 0, 22, 27, 141
"d:\IdeaProjects\-qsz\util\character_effects.gd.uid", "Asset Properties Definition", 0, 0, 0, 0, 0, 0, 1, 1
"d:\IdeaProjects\-qsz\util\circle_drawer.gd", "GDScript", 0, 21, 0, 0, 0, 5, 8, 34
"d:\IdeaProjects\-qsz\util\circle_drawer.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\util\global_util.gd", "GDScript", 0, 10, 0, 0, 0, 0, 2, 12
"d:\IdeaProjects\-qsz\util\global_util.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\util\rect_drawer.gd", "GDScript", 0, 27, 0, 0, 0, 5, 8, 40
"d:\IdeaProjects\-qsz\util\rect_drawer.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\util\sector_drawer.gd", "GDScript", 0, 36, 0, 0, 0, 9, 11, 56
